"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp","VAP
HISPW","VAP
HISPB","VAP
HISPO"
1,129239,95014,73.5%,26146,20.2%,902,0.7%,4146,3.2%,164,2035,832,4124,3.2%,1828,330,1966
2,126146,50288,39.9%,70426,55.8%,802,0.6%,2189,1.7%,108,1223,1110,2715,2.2%,914,595,1206
3,133568,105600,79.1%,21670,16.2%,990,0.7%,3040,2.3%,165,1558,545,3372,2.5%,1614,225,1533
4,129202,103756,80.3%,22413,17.3%,1050,0.8%,1033,0.8%,34,592,324,1357,1.1%,721,117,519
5,128794,50501,39.2%,72049,55.9%,703,0.5%,3161,2.5%,141,1332,907,2734,2.1%,986,481,1267
6,135141,91339,67.6%,34111,25.2%,1216,0.9%,3601,2.7%,156,3921,797,6508,4.8%,2168,483,3857
7,126695,93133,73.5%,21251,16.8%,884,0.7%,8653,6.8%,152,1880,742,4198,3.3%,2112,282,1804
8,127737,103116,80.7%,16541,12.9%,990,0.8%,4179,3.3%,174,2100,637,4676,3.7%,2298,344,2034
9,137238,56695,41.3%,75468,55%,1217,0.9%,1995,1.5%,56,1078,729,1850,1.3%,675,323,852
10,132391,109902,83%,18161,13.7%,533,0.4%,2500,1.9%,36,906,353,1839,1.4%,993,86,760
11,126607,96308,76.1%,24815,19.6%,731,0.6%,2668,2.1%,80,1591,414,2898,2.3%,1251,181,1466
12,136083,113059,83.1%,13321,9.8%,590,0.4%,6874,5.1%,59,1727,453,3320,2.4%,1742,140,1438
13,131350,95523,72.7%,32073,24.4%,875,0.7%,1631,1.2%,96,751,401,1978,1.5%,1038,225,715
14,122179,89174,73%,24155,19.8%,884,0.7%,5869,4.8%,128,1448,521,3430,2.8%,1767,246,1417
15,138803,92143,66.4%,44725,32.2%,556,0.4%,490,0.4%,38,548,303,1420,1%,696,204,520
16,127356,49814,39.1%,71221,55.9%,622,0.5%,1658,1.3%,183,3112,746,5014,3.9%,1358,432,3224
17,130172,106112,81.5%,20309,15.6%,766,0.6%,1334,1%,46,1256,349,2762,2.1%,1403,141,1218
18,129927,51366,39.5%,76041,58.5%,584,0.4%,726,0.6%,56,699,455,1460,1.1%,492,307,661
19,138856,104977,75.6%,32171,23.2%,437,0.3%,503,0.4%,25,528,215,1383,1%,722,153,508
20,140670,121439,86.3%,16692,11.9%,522,0.4%,440,0.3%,30,1399,148,3053,2.2%,1584,108,1361
21,143909,117185,81.4%,20193,14%,646,0.4%,4067,2.8%,67,1250,501,1933,1.3%,980,143,810
22,139745,131398,94%,5440,3.9%,564,0.4%,1566,1.1%,34,550,193,1157,0.8%,701,35,421
23,138648,113590,81.9%,22123,16%,730,0.5%,1249,0.9%,46,594,316,1238,0.9%,640,93,505
24,138182,127819,92.5%,8122,5.9%,573,0.4%,732,0.5%,39,704,193,1792,1.3%,1134,46,612
25,141026,118070,83.7%,16551,11.7%,563,0.4%,4253,3%,60,1104,425,2545,1.8%,1501,133,911
26,136831,127861,93.4%,4323,3.2%,605,0.4%,1677,1.2%,49,2109,207,4776,3.5%,2669,146,1961
27,130760,119436,91.3%,7822,6%,657,0.5%,1158,0.9%,61,1392,234,2993,2.3%,1652,48,1293
28,131016,104004,79.4%,22107,16.9%,952,0.7%,1893,1.4%,121,1515,424,3404,2.6%,1757,199,1448
29,123303,92899,75.3%,17007,13.8%,837,0.7%,4636,3.8%,165,7061,698,11994,9.7%,4805,318,6871
30,146917,94022,64%,26201,17.8%,823,0.6%,10001,6.8%,164,14093,1613,23820,16.2%,9507,507,13806
31,144838,104502,72.2%,9066,6.3%,821,0.6%,14771,10.2%,124,14269,1285,25962,17.9%,12380,338,13244
32,133414,101749,76.3%,7338,5.5%,524,0.4%,16381,12.3%,93,6512,817,12706,9.5%,6824,200,5682
33,122974,97641,79.4%,8678,7.1%,487,0.4%,11730,9.5%,111,3735,592,7791,6.3%,4255,154,3382
34,133309,102534,76.9%,5877,4.4%,531,0.4%,18788,14.1%,100,4800,679,10028,7.5%,5735,176,4117
35,140108,83968,59.9%,18833,13.4%,640,0.5%,22464,16%,157,12094,1952,21588,15.4%,10266,399,10923
36,127572,84531,66.3%,26371,20.7%,900,0.7%,7672,6%,228,6705,1165,12497,9.8%,5523,458,6516
37,128325,94818,73.9%,8250,6.4%,544,0.4%,19695,15.3%,111,4178,729,9125,7.1%,5240,158,3727
38,142009,136485,96.1%,4127,2.9%,548,0.4%,398,0.3%,24,335,92,806,0.6%,537,22,247
39,128304,93661,73%,14570,11.4%,590,0.5%,13853,10.8%,146,4635,849,9752,7.6%,5227,285,4240
40,140909,136010,96.5%,3398,2.4%,648,0.5%,440,0.3%,35,283,95,842,0.6%,593,27,222
